time,tavg,prcp,wspd
2025-03-10,24.0,6.5,10.3
2025-03-11,22.9,11.3,10.2
2025-03-12,23.5,16.0,9.5
2025-03-13,24.0,8.0,9.4
2025-03-14,23.3,0.0,8.5
2025-03-15,22.8,0.0,12.7
2025-03-16,20.8,0.0,12.5
2025-03-17,22.2,0.0,11.8
2025-03-18,22.5,0.0,9.1
2025-03-19,21.3,26.9,11.4
2025-03-20,20.8,0.5,13.0
2025-03-21,21.3,0.0,13.9
2025-03-22,22.6,0.1,10.9
2025-03-23,21.6,16.3,8.1
2025-03-24,22.8,14.7,8.1
2025-03-25,23.3,0.7,8.9
2025-03-26,22.1,0.1,11.8
2025-03-27,22.5,0.2,11.9
2025-03-28,22.7,1.3,10.8
2025-03-29,23.0,0.7,9.9
2025-03-30,22.8,0.0,10.5
2025-03-31,22.1,5.9,8.8
2025-04-01,23.3,0.7,7.6
2025-04-02,22.4,4.2,9.4
2025-04-03,22.8,16.1,7.8
2025-04-04,21.8,5.4,9.2
2025-04-05,17.2,2.2,17.4
2025-04-06,17.5,0.5,18.4
2025-04-07,18.3,0.0,13.1
2025-04-08,20.1,0.0,6.6
2025-04-09,22.5,5.4,7.1
2025-04-10,20.4,9.2,7.5
2025-04-11,20.2,1.3,8.2
2025-04-12,20.5,0.0,8.4
2025-04-13,22.0,1.8,7.7
2025-04-14,19.9,14.9,6.1
2025-04-15,20.1,0.6,9.4
2025-04-16,20.9,2.4,7.0
2025-04-17,21.5,0.0,11.1
2025-04-18,20.8,0.0,8.3
2025-04-19,21.7,40.9,7.8
2025-04-20,19.5,14.0,9.7
2025-04-21,18.6,0.5,12.5
2025-04-22,17.9,0.0,13.3
2025-04-23,19.1,0.0,11.0
2025-04-24,20.5,11.9,7.6
2025-04-25,19.0,20.0,6.6
2025-04-26,20.7,1.1,9.5
2025-04-27,21.1,0.0,8.8
2025-04-28,20.7,13.0,13.3
2025-04-29,18.2,0.0,11.6
2025-04-30,17.7,0.0,12.4
2025-05-01,17.7,0.0,12.5
2025-05-02,18.3,0.0,11.7
2025-05-03,18.4,0.0,10.8
2025-05-04,18.6,0.0,10.7
2025-05-05,19.1,0.0,12.1
2025-05-06,19.3,0.0,9.3
2025-05-07,20.2,0.0,8.7
2025-05-08,21.4,0.0,7.4
2025-05-09,23.2,0.0,9.8
2025-05-10,20.6,12.3,9.6
2025-05-11,16.2,0.7,14.3
2025-05-12,17.1,0.0,15.2
2025-05-13,18.0,0.2,12.7
2025-05-14,17.5,0.0,14.0
2025-05-15,17.3,0.0,12.5
2025-05-16,18.5,0.0,10.5
2025-05-17,19.1,0.0,9.3
2025-05-18,19.8,0.0,7.3
2025-05-19,20.5,0.0,7.6
2025-05-20,20.4,0.0,7.4
2025-05-21,20.7,0.5,10.1
2025-05-22,19.7,10.8,8.1
2025-05-23,18.2,2.0,11.0
2025-05-24,17.7,0.1,14.2
2025-05-25,18.7,0.1,8.6
2025-05-26,19.5,0.0,5.7
2025-05-27,20.2,0.0,7.8
2025-05-28,21.1,0.0,12.4
2025-05-29,15.2,1.6,13.3
2025-05-30,13.7,0.0,7.9
2025-05-31,16.7,0.0,8.2
2025-06-01,17.2,0.0,7.6
2025-06-02,18.3,0.0,12.0
2025-06-03,17.7,0.7,6.7
2025-06-04,20.3,0.0,8.9
2025-06-05,20.2,1.1,10.5
2025-06-06,18.4,7.7,8.4
2025-06-07,17.0,2.7,6.5
2025-06-08,18.3,3.3,10.7
2025-06-09,15.9,5.7,6.5
